Product Name,Price (Ksh),Discount (%),Total Reviews
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700",No discount,No reviews
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 437,No discount,No reviews
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),KSh 738,No discount,No reviews
ASHION Fashion Casual Baseball Sweatshirt Casual Jacket - Green/White,"KSh 1,083 - KSh 1,190",No discount,No reviews
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,KSh 590,No discount,No reviews
Samsung Galaxy A52 5G 128 GB HDD- 6GB RAM - Awesome White,"KSh 24,605",No discount,No reviews
Smartwatch Business Bluetooth Waterproof Sport,KSh 574,No discount,No reviews
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",KSh 519,No discount,No reviews
"Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black, (2YRs WRTY)","KSh 8,799",No discount,No reviews
Fashion Ladies Ice Silk Underwear Women Sexy Seamless Panties Pack Of 3,KSh 699,No discount,No reviews
Istanbul 2 Modern TV Stand With LED Lights,"KSh 6,599",No discount,No reviews
Hisense 7.5kg Twin Tub Washing Machine (2YRS WRTY),"KSh 17,799",No discount,No reviews
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 16,000",No discount,No reviews
Geisha White & Honey Value Pack Soap - 200g x 3,KSh 335,No discount,No reviews
Rosy Lavender & Chamomile Air Freshener 300ml,KSh 255,No discount,No reviews
"VILLAON V20, 6.3"", 32GB + 2GB RAM, (Dual SIM), 3000mAh, Tranquil Blue (1YR WRNTY)","KSh 4,399",No discount,No reviews
Rexona Men Antiperspirant Deodorant Roll On Extra Cool 50ml,KSh 395,No discount,No reviews
Geisha Green Aloe Vera and Honey Value Pack (3 Pieces),KSh 335,No discount,No reviews
Sundabest Flower Ceramic Deep Soup Plate  set of 6 (11129),KSh 350,No discount,No reviews
Power King Extension Cable - 5 Way - White.,KSh 420,No discount,No reviews
Power King Best 4 Way Power Extension With Long Cable - White,KSh 350,No discount,No reviews
Vitron V51SB (1YR WRTY),"KSh 4,599",No discount,No reviews
Top Fry Top Fry Vegetable Oil - 3ltr,"KSh 1,070",No discount,No reviews
Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 690,No discount,No reviews
"Infinix Note 40, 6.78"", 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Titan Gold  (1YR  WRTY)","KSh 24,280",No discount,No reviews
RichRipple Metal Electric Hair Clippers Rechargeable Beard Hair Trimmer Salon Hair Cutting Kit  Vs Limit Comb,KSh 545,No discount,No reviews
,,No discount,No reviews
,,No discount,No reviews
,,No discount,No reviews
,,No discount,No reviews
,,No discount,No reviews
,,No discount,No reviews
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 975,No discount,No reviews
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 18,499",No discount,No reviews
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 960,No discount,No reviews
Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,"KSh 2,960",No discount,No reviews
Garnier Day & Night Vitamin C Serum Routine Pack,"KSh 3,400",No discount,No reviews
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 780,No discount,No reviews
"NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2) + Pearl & Beauty Anti-Perspirant Rollon For Women, 48h - 50ml","KSh 1,460",No discount,No reviews
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black (1YR WRTY)","KSh 26,099",No discount,No reviews
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 11,199",No discount,No reviews
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,799",No discount,No reviews
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,199",No discount,No reviews
Hisense 94L Single Door Fridge (2YRS WRTY),"KSh 17,499",No discount,No reviews
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 17,736",No discount,No reviews
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),"KSh 3,399",No discount,No reviews
"TCL 50"" P635 4K HDR Google TV - Black","KSh 40,499",No discount,No reviews
Garnier Even & Matte Vitamin C Sunscreen SPF30 50ml,"KSh 1,000",No discount,No reviews
Nice One Set Of 6pcs 240ML High Quality Milk Juicer Beer Glass Cups Wine Water Glasses (GLASS CUP 7050),KSh 599,No discount,No reviews
"Sonar 2L Cordless Electric Kettle ,1500W Energy Efficient , 1 .5m Power Cord 1YR WRTY",KSh 699,No discount,No reviews
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,380",No discount,No reviews
"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 24,999",No discount,No reviews
"Vision Plus 43"" Full HD Android Frameless Smart TV,Dvb-T2/S2 +Free Wall Bracket (2YRS WRTY)","KSh 20,499",No discount,No reviews
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 13,599",No discount,No reviews
"Vision Plus 50"" 4K Frameless, Netflix Official Smart Content TV +Free Wall Mount(2YRs WRTY)","KSh 31,999",No discount,No reviews
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Green (2YRs WRTY)","KSh 13,580",No discount,No reviews
